source_line	original	nomi_ru	nomi_uz	review_reason
401	АА КОМПЛЕКС МЕДОВО-РАСТИТЕЛЬНЫЙ ДЛЯ УКРЕПЛЕНИЯ И РОСТА ВОЛОС 7 ШТ.	АА Комплекс Медово-растительный ДЛЯ Укрепления И Роста Волос 7 ШТ.	Aa Kompleks Medovo-rastitelniy Dlya Ukrepleniya I Rosta Volos 7 Sht.	unresolved_abbreviation
402	АА КОМПЛЕКС РАСТИТЕЛЬНЫЙ ПРОТИВ ВЫПАДЕНИЯ ВОЛОС 7 ШТ.	АА Комплекс Растительный Против Выпадения Волос 7 ШТ.	Aa Kompleks Rastitelniy Protiv Vipadeniya Volos 7 Sht.	unresolved_abbreviation
436	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ANTI-COLIC 0M+ 125МЛ (SCF811/17)	Авент бутылочка Д/кормл ANTI-COLIC 0M+ 125 мл (SCF811/17)	Avent butilka D/korml ANTI-COLIC 0M+ 125 ml (SCF811/17)	unresolved_abbreviation
437	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ANTI-COLIC 0M+ 260МЛ 2ШТ (SCF814/62)	Авент бутылочка Д/кормл ANTI-COLIC 0M+ 260 мл 2ШТ (SCF814/62)	Avent butilka D/korml ANTI-COLIC 0M+ 260 ml 2Sht (SCF814/62)	unresolved_abbreviation
438	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ANTI-COLIC 0М+ 125МЛ (SCF810/61)	Авент бутылочка Д/кормл ANTI-COLIC 0М+ 125 мл (SCF810/61)	Avent butilka D/korml ANTI-COLIC 0M+ 125 ml (SCF810/61)	unresolved_abbreviation
439	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ANTI-COLIC 0М+ 125МЛ (SCF810/62)	Авент бутылочка Д/кормл ANTI-COLIC 0М+ 125 мл (SCF810/62)	Avent butilka D/korml ANTI-COLIC 0M+ 125 ml (SCF810/62)	unresolved_abbreviation
440	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ANTI-COLIC 1М+ 260МЛ (SCF813/61)	Авент бутылочка Д/кормл ANTI-COLIC 1М+ 260 мл (SCF813/61)	Avent butilka D/korml ANTI-COLIC 1M+ 260 ml (SCF813/61)	unresolved_abbreviation
441	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ANTI-COLIC 3М+ 330МЛ (SCF816/61)	Авент бутылочка Д/кормл ANTI-COLIC 3М+ 330 мл (SCF816/61)	Avent butilka D/korml ANTI-COLIC 3M+ 330 ml (SCF816/61)	unresolved_abbreviation
442	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 0M+ 125МЛ (SCF560/17)	Авент бутылочка Д/кормл CLASSIC+ 0M+ 125 мл (SCF560/17)	Avent butilka D/korml CLASSIC+ 0M+ 125 ml (SCF560/17)	unresolved_abbreviation
443	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 0M+ 125МЛ 2ШТ (SCF560/27)	Авент бутылочка Д/кормл CLASSIC+ 0M+ 125 мл 2ШТ (SCF560/27)	Avent butilka D/korml CLASSIC+ 0M+ 125 ml 2Sht (SCF560/27)	unresolved_abbreviation
444	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 0M+ 125МЛ 3ШТ (SCF560/37)	Авент бутылочка Д/кормл CLASSIC+ 0M+ 125 мл 3ШТ (SCF560/37)	Avent butilka D/korml CLASSIC+ 0M+ 125 ml 3Sht (SCF560/37)	unresolved_abbreviation
445	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 0М+ 125МЛ/260МЛ 2ШТ (SCD374/01)	Авент бутылочка Д/кормл CLASSIC+ 0М+ 125 мл/260 мл 2ШТ (SCD374/01)	Avent butilka D/korml CLASSIC+ 0M+ 125 ml/260 ml 2Sht (SCD374/01)	unresolved_abbreviation
446	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ (SCF563/17)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл (SCF563/17)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml (SCF563/17)	unresolved_abbreviation
447	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ (SCF573/12)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл (SCF573/12)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml (SCF573/12)	unresolved_abbreviation
448	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ (SCF573/13)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл (SCF573/13)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml (SCF573/13)	unresolved_abbreviation
449	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ (SCF573/14)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл (SCF573/14)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml (SCF573/14)	unresolved_abbreviation
450	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ (SCF574/14)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл (SCF574/14)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml (SCF574/14)	unresolved_abbreviation
451	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ 2ШТ (SCF563/27)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл 2ШТ (SCF563/27)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml 2Sht (SCF563/27)	unresolved_abbreviation
452	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ 2ШТ (SCF564/27)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл 2ШТ (SCF564/27)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml 2Sht (SCF564/27)	unresolved_abbreviation
453	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 1M+ 260МЛ 3ШТ (SCF563/37)	Авент бутылочка Д/кормл CLASSIC+ 1M+ 260 мл 3ШТ (SCF563/37)	Avent butilka D/korml CLASSIC+ 1M+ 260 ml 3Sht (SCF563/37)	unresolved_abbreviation
454	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 3M+ 330МЛ (SCF566/17)	Авент бутылочка Д/кормл CLASSIC+ 3M+ 330 мл (SCF566/17)	Avent butilka D/korml CLASSIC+ 3M+ 330 ml (SCF566/17)	unresolved_abbreviation
455	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ CLASSIC+ 3M+ 330МЛ 2ШТ (SCF566/27)	Авент бутылочка Д/кормл CLASSIC+ 3M+ 330 мл 2ШТ (SCF566/27)	Avent butilka D/korml CLASSIC+ 3M+ 330 ml 2Sht (SCF566/27)	unresolved_abbreviation
456	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ESSENTIAL 0М+ 120МЛ (SCF970/17)	Авент бутылочка Д/кормл ESSENTIAL 0М+ 120 мл (SCF970/17)	Avent butilka D/korml ESSENTIAL 0M+ 120 ml (SCF970/17)	unresolved_abbreviation
457	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ESSENTIAL 3М+ 240МЛ (SCF971/17)	Авент бутылочка Д/кормл ESSENTIAL 3М+ 240 мл (SCF971/17)	Avent butilka D/korml ESSENTIAL 3M+ 240 ml (SCF971/17)	unresolved_abbreviation
458	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ ESSENTIAL 6М+ 300МЛ (SCF972/17)	Авент бутылочка Д/кормл ESSENTIAL 6М+ 300 мл (SCF972/17)	Avent butilka D/korml ESSENTIAL 6M+ 300 ml (SCF972/17)	unresolved_abbreviation
459	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 0M+ 125МЛ (SCF030/17)	Авент бутылочка Д/кормл NATURAL 0M+ 125 мл (SCF030/17)	Avent butilka D/korml NATURAL 0M+ 125 ml (SCF030/17)	unresolved_abbreviation
460	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 0M+ 125МЛ (SCF690/17)	Авент бутылочка Д/кормл NATURAL 0M+ 125 мл (SCF690/17)	Avent butilka D/korml NATURAL 0M+ 125 ml (SCF690/17)	unresolved_abbreviation
461	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 0M+ 125МЛ 2ШТ (SCF030/27)	Авент бутылочка Д/кормл NATURAL 0M+ 125 мл 2ШТ (SCF030/27)	Avent butilka D/korml NATURAL 0M+ 125 ml 2Sht (SCF030/27)	unresolved_abbreviation
462	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 0M+ 125МЛ 2ШТ (SCF690/27)	Авент бутылочка Д/кормл NATURAL 0M+ 125 мл 2ШТ (SCF690/27)	Avent butilka D/korml NATURAL 0M+ 125 ml 2Sht (SCF690/27)	unresolved_abbreviation
463	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 0M+ 60МЛ (SCF039/17)	Авент бутылочка Д/кормл NATURAL 0M+ 60 мл (SCF039/17)	Avent butilka D/korml NATURAL 0M+ 60 ml (SCF039/17)	unresolved_abbreviation
464	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 0М+ 125МЛ/260МЛ 2ШТ (SCD289/01)	Авент бутылочка Д/кормл NATURAL 0М+ 125 мл/260 мл 2ШТ (SCD289/01)	Avent butilka D/korml NATURAL 0M+ 125 ml/260 ml 2Sht (SCD289/01)	unresolved_abbreviation
465	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF033/17)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF033/17)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF033/17)	unresolved_abbreviation
466	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF033/27)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF033/27)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF033/27)	unresolved_abbreviation
467	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF070/20)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF070/20)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF070/20)	unresolved_abbreviation
468	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF070/21)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF070/21)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF070/21)	unresolved_abbreviation
469	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF070/24)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF070/24)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF070/24)	unresolved_abbreviation
470	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF070/25)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF070/25)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF070/25)	unresolved_abbreviation
471	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF627/21)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF627/21)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF627/21)	unresolved_abbreviation
472	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 1M+ 260МЛ (SCF693/17)	Авент бутылочка Д/кормл NATURAL 1M+ 260 мл (SCF693/17)	Avent butilka D/korml NATURAL 1M+ 260 ml (SCF693/17)	unresolved_abbreviation
473	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 3M+ 330МЛ (SCF696/17)	Авент бутылочка Д/кормл NATURAL 3M+ 330 мл (SCF696/17)	Avent butilka D/korml NATURAL 3M+ 330 ml (SCF696/17)	unresolved_abbreviation
474	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 4M+ 150МЛ (SCF262/06)	Авент бутылочка Д/кормл NATURAL 4M+ 150 мл (SCF262/06)	Avent butilka D/korml NATURAL 4M+ 150 ml (SCF262/06)	unresolved_abbreviation
475	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL 6M+ 330МЛ (SCF036/17)	Авент бутылочка Д/кормл NATURAL 6M+ 330 мл (SCF036/17)	Avent butilka D/korml NATURAL 6M+ 330 ml (SCF036/17)	unresolved_abbreviation
476	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL СТЕКЛ 0M+ 120МЛ (SCF051/17)	Авент бутылочка Д/кормл NATURAL Стекл 0M+ 120 мл (SCF051/17)	Avent butilka D/korml NATURAL Stekl 0M+ 120 ml (SCF051/17)	unresolved_abbreviation
477	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL СТЕКЛ 0M+ 120МЛ (SCF671/17)	Авент бутылочка Д/кормл NATURAL Стекл 0M+ 120 мл (SCF671/17)	Avent butilka D/korml NATURAL Stekl 0M+ 120 ml (SCF671/17)	unresolved_abbreviation
478	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL СТЕКЛ 1M+ 240МЛ (SCF053/17)	Авент бутылочка Д/кормл NATURAL Стекл 1M+ 240 мл (SCF053/17)	Avent butilka D/korml NATURAL Stekl 1M+ 240 ml (SCF053/17)	unresolved_abbreviation
479	АВЕНТ БУТЫЛОЧКА Д/КОРМЛ NATURAL СТЕКЛ 1M+ 240МЛ (SCF673/17)	Авент бутылочка Д/кормл NATURAL Стекл 1M+ 240 мл (SCF673/17)	Avent butilka D/korml NATURAL Stekl 1M+ 240 ml (SCF673/17)	unresolved_abbreviation
486	АВЕНТ КОНТЕЙНЕР Д/ХРАНЕНИЯ МОЛОКА 0М+ №10 (SCF618/10)	Авент Контейнер Д/хранения Молока 0М+ №10 (SCF618/10)	Avent Konteyner D/xraneniya Moloka 0M+ №10 (SCF618/10)	unresolved_abbreviation
487	АВЕНТ КОНТЕЙНЕР Д/ХРАНЕНИЯ МОЛОКА 0М+ №5 (SCF619/05)	Авент Контейнер Д/хранения Молока 0М+ №5 (SCF619/05)	Avent Konteyner D/xraneniya Moloka 0M+ №5 (SCF619/05)	unresolved_abbreviation
494	АВЕНТ НАБОР Д/КОРМЛЕНИЯ НОВОРОЖД CLASSIC+ 0M+ (SCD371/00)	Авент Набор Д/кормления Новорожд CLASSIC+ 0M+ (SCD371/00)	Avent Nabor D/kormleniya Novorojd CLASSIC+ 0M+ (SCD371/00)	unresolved_abbreviation
495	АВЕНТ НАБОР Д/КОРМЛЕНИЯ НОВОРОЖД NATURAL+ 0M+ (SCD301/01)	Авент Набор Д/кормления Новорожд NATURAL+ 0M+ (SCD301/01)	Avent Nabor D/kormleniya Novorojd NATURAL+ 0M+ (SCD301/01)	unresolved_abbreviation
496	АВЕНТ НАБОР Д/КОРМЛЕНИЯ НОВОРОЖД NATURAL+ 0M+ (SCD301/03)	Авент Набор Д/кормления Новорожд NATURAL+ 0M+ (SCD301/03)	Avent Nabor D/kormleniya Novorojd NATURAL+ 0M+ (SCD301/03)	unresolved_abbreviation
497	АВЕНТ НАБОР Д/КОРМЛЕНИЯ НОВОРОЖД NATURAL+ 0M+ (SCD301/04)	Авент Набор Д/кормления Новорожд NATURAL+ 0M+ (SCD301/04)	Avent Nabor D/kormleniya Novorojd NATURAL+ 0M+ (SCD301/04)	unresolved_abbreviation
498	АВЕНТ НАБОР Д/КОРМЛЕНИЯ НОВОРОЖД NATURAL+ 1M+ (SCF033/37)	Авент Набор Д/кормления Новорожд NATURAL+ 1M+ (SCF033/37)	Avent Nabor D/kormleniya Novorojd NATURAL+ 1M+ (SCF033/37)	unresolved_abbreviation
523	АВЕНТ ПУСТЫШКА ULTRA AIR 0-6М СИЛИКОН С РИС 1ШТ Д/МАЛ SCF544/10	Авент пустышка ULTRA AIR 0-6М Силикон С РИС 1ШТ Д/мал SCF544/10	Avent so‘rg‘ich ULTRA AIR 0-6M Silikon S Ris 1Sht D/mal SCF544/10	unresolved_abbreviation
599	АВЕНТ ТЕРМОМЕТР ЦИФРОВОЙ Д/ВАННЫ И СПАЛЬНИ (SCH480/20)	Авент термометр Цифровой Д/ванны И Спальни (SCH480/20)	Avent termometr Tsifrovoy D/vanni I Spalni (SCH480/20)	unresolved_abbreviation
600	АВЕНТ ТЕРМОМЕТР ЦИФРОВОЙ Д/ВАННЫ И СПАЛЬНИ (SCH550/20)	Авент термометр Цифровой Д/ванны И Спальни (SCH550/20)	Avent termometr Tsifrovoy D/vanni I Spalni (SCH550/20)	unresolved_abbreviation
607	АВЕНТ ЧАШКА Д/ПИТЬЯ "ВЗРОСЛАЯ" 12M+ 340МЛ (SCF784/00)	Авент Чашка Д/питья "Взрослая" 12M+ 340 мл (SCF784/00)	Avent Chashka D/pitya "Vzroslaya" 12M+ 340 ml (SCF784/00)	unresolved_abbreviation
608	АВЕНТ ЧАШКА Д/ПИТЬЯ "ВЗРОСЛАЯ" 9M+ 260МЛ (SCF782/00)	Авент Чашка Д/питья "Взрослая" 9M+ 260 мл (SCF782/00)	Avent Chashka D/pitya "Vzroslaya" 9M+ 260 ml (SCF782/00)	unresolved_abbreviation
609	АВЕНТ ЧАШКА Д/ПИТЬЯ "ВЗРОСЛАЯ" 9M+ 260МЛ (SCF782/20)	Авент Чашка Д/питья "Взрослая" 9M+ 260 мл (SCF782/20)	Avent Chashka D/pitya "Vzroslaya" 9M+ 260 ml (SCF782/20)	unresolved_abbreviation
610	АВЕНТ ЧАШКА Д/ПИТЬЯ С ГИБКОЙ ТРУБОЧКОЙ 12M+ 300МЛ (SCF798/00)	Авент Чашка Д/питья С Гибкой Трубочкой 12M+ 300 мл (SCF798/00)	Avent Chashka D/pitya S Gibkoy Trubochkoy 12M+ 300 ml (SCF798/00)	unresolved_abbreviation
611	АВЕНТ ЧАШКА Д/ПИТЬЯ С ГИБКОЙ ТРУБОЧКОЙ 12M+ 300МЛ (SCF798/01)	Авент Чашка Д/питья С Гибкой Трубочкой 12M+ 300 мл (SCF798/01)	Avent Chashka D/pitya S Gibkoy Trubochkoy 12M+ 300 ml (SCF798/01)	unresolved_abbreviation
612	АВЕНТ ЧАШКА Д/ПИТЬЯ С ГИБКОЙ ТРУБОЧКОЙ 12M+ 300МЛ (SCF798/02)	Авент Чашка Д/питья С Гибкой Трубочкой 12M+ 300 мл (SCF798/02)	Avent Chashka D/pitya S Gibkoy Trubochkoy 12M+ 300 ml (SCF798/02)	unresolved_abbreviation
613	АВЕНТ ЧАШКА Д/ПИТЬЯ С ГИБКОЙ ТРУБОЧКОЙ 9M+ 200МЛ (SCF796/00)	Авент Чашка Д/питья С Гибкой Трубочкой 9M+ 200 мл (SCF796/00)	Avent Chashka D/pitya S Gibkoy Trubochkoy 9M+ 200 ml (SCF796/00)	unresolved_abbreviation
614	АВЕНТ ЧАШКА Д/ПИТЬЯ С ГИБКОЙ ТРУБОЧКОЙ 9M+ 200МЛ (SCF796/01)	Авент Чашка Д/питья С Гибкой Трубочкой 9M+ 200 мл (SCF796/01)	Avent Chashka D/pitya S Gibkoy Trubochkoy 9M+ 200 ml (SCF796/01)	unresolved_abbreviation
615	АВЕНТ ЧАШКА Д/ПИТЬЯ С ГИБКОЙ ТРУБОЧКОЙ 9M+ 200МЛ (SCF796/02)	Авент Чашка Д/питья С Гибкой Трубочкой 9M+ 200 мл (SCF796/02)	Avent Chashka D/pitya S Gibkoy Trubochkoy 9M+ 200 ml (SCF796/02)	unresolved_abbreviation
616	АВЕНТ ЧАШКА Д/ПИТЬЯ С НОСИКОМ 12М+ 260МЛ (SCF553/00)	Авент Чашка Д/питья С Носиком 12М+ 260 мл (SCF553/00)	Avent Chashka D/pitya S Nosikom 12M+ 260 ml (SCF553/00)	unresolved_abbreviation
617	АВЕНТ ЧАШКА Д/ПИТЬЯ С НОСИКОМ 12М+ 260МЛ (SCF553/03)	Авент Чашка Д/питья С Носиком 12М+ 260 мл (SCF553/03)	Avent Chashka D/pitya S Nosikom 12M+ 260 ml (SCF553/03)	unresolved_abbreviation
618	АВЕНТ ЧАШКА Д/ПИТЬЯ С НОСИКОМ 12М+ 260МЛ (SCF753/05)	Авент Чашка Д/питья С Носиком 12М+ 260 мл (SCF753/05)	Avent Chashka D/pitya S Nosikom 12M+ 260 ml (SCF753/05)	unresolved_abbreviation
619	АВЕНТ ЧАШКА Д/ПИТЬЯ С НОСИКОМ 6M+ 200МЛ (SCF551/00)	Авент Чашка Д/питья С Носиком 6M+ 200 мл (SCF551/00)	Avent Chashka D/pitya S Nosikom 6M+ 200 ml (SCF551/00)	unresolved_abbreviation
620	АВЕНТ ЧАШКА Д/ПИТЬЯ С НОСИКОМ 6M+ 200МЛ (SCF751/00)	Авент Чашка Д/питья С Носиком 6M+ 200 мл (SCF751/00)	Avent Chashka D/pitya S Nosikom 6M+ 200 ml (SCF751/00)	unresolved_abbreviation
621	АВЕНТ ЧАШКА Д/ПИТЬЯ С НОСИКОМ 6М+ 200МЛ (SCF751/03)	Авент Чашка Д/питья С Носиком 6М+ 200 мл (SCF751/03)	Avent Chashka D/pitya S Nosikom 6M+ 200 ml (SCF751/03)	unresolved_abbreviation
642	АВИКАРНИТИН  Р-Р Д/ВНУТРЬ 100МГ/МЛ 100МЛ	Авикарнитин раствор Д/внутрь 100 Мг/мл 100 мл	Avikarnitin eritma D/vnutr 100 Mg/ml 100 ml	unresolved_abbreviation
643	АВИКАРНИТИН  Р-Р Д/ВНУТРЬ 100МГ/МЛ 50МЛ	Авикарнитин раствор Д/внутрь 100 Мг/мл 50 мл	Avikarnitin eritma D/vnutr 100 Mg/ml 50 ml	unresolved_abbreviation
648	АВИМЕНТИН ПОР Д/СУСП 228МГ/5МЛ 70МЛ	Авиментин порошок для приготовления суспензии 228 мг/5 мл 70 мл	Avimentin kukun suspenziya tayyorlash uchun 228 mg/5 ml 70 ml	unresolved_abbreviation
730	АДРЕНАЛИН-ДАРНИЦА АМП 0,18% 1МЛ №10**	Адреналин-дарница ампулы 0,18% 1 мл №10**	Adrenalin-darnitsa ampula 0,18% 1 ml №10**	source_marker
747	АЗАЛЕПТОЛ ТАБ 100МГ №50**	Азалептол таблетки 100 мг №50**	Azaleptol tabletka 100 mg №50**	source_marker
748	АЗАЛЕПТОЛ ТАБ 25МГ №50**	Азалептол таблетки 25 мг №50**	Azaleptol tabletka 25 mg №50**	source_marker
753	АЗБАКТ 500МГ  ТАБЛ. №3	Азбакт 500 мг Табл. №3	Azbakt 500 mg Tabl. №3	unresolved_abbreviation
766	АЗИБРАУН 200 ПОР Д/СУСП 3Г №10	Азибраун 200 порошок для приготовления суспензии 3 г №10	Azibraun 200 kukun suspenziya tayyorlash uchun 3 g №10	unresolved_abbreviation
773	АЗИЛАБ ПОР Д/СУСП 100МГ/5МЛ 15МЛ	Азилаб порошок для приготовления суспензии 100 мг/5 мл 15 мл	Azilab kukun suspenziya tayyorlash uchun 100 mg/5 ml 15 ml	unresolved_abbreviation
776	АЗИМАК ПОР Д/СУСП 200МГ/5МЛ 15МЛ	Азимак порошок для приготовления суспензии 200 мг/5 мл 15 мл	Azimak kukun suspenziya tayyorlash uchun 200 mg/5 ml 15 ml	unresolved_abbreviation
777	АЗИМАК ПОР Д/СУСП 200МГ/5МЛ 30МЛ	Азимак порошок для приготовления суспензии 200 мг/5 мл 30 мл	Azimak kukun suspenziya tayyorlash uchun 200 mg/5 ml 30 ml	unresolved_abbreviation
778	АЗИМАКС МЕР ПОР Д/СУСП 200МГ/5МЛ 15МЛ	Азимакс МЕР порошок для приготовления суспензии 200 мг/5 мл 15 мл	Azimaks Mer kukun suspenziya tayyorlash uchun 200 mg/5 ml 15 ml	unresolved_abbreviation
779	АЗИМАКС МЕР ПОР Д/СУСП 200МГ/5МЛ 30МЛ	Азимакс МЕР порошок для приготовления суспензии 200 мг/5 мл 30 мл	Azimaks Mer kukun suspenziya tayyorlash uchun 200 mg/5 ml 30 ml	unresolved_abbreviation
804	АЗИТРОМИЦИН ЛЕК ПОР Д/СУСП 200МГ/5МЛ 20МЛ	Азитромицин ЛЕК порошок для приготовления суспензии 200 мг/5 мл 20 мл	Azitromitsin Lek kukun suspenziya tayyorlash uchun 200 mg/5 ml 20 ml	unresolved_abbreviation
