source_line	original	nomi_ru	nomi_uz	review_reason
21	1 МЛ ШПРИЦ KD-JECT-III (ТУБЕРКУЛИН)	1 мл шприц KD-JECT-III (Туберкулин)	1 ml shprits KD-JECT-III (Tuberkulin)	brand_spelling_not_verified
22	1 МЛ ШПРИЦ MFA	1 мл шприц MFA	1 ml shprits MFA	brand_spelling_not_verified
23	1 МЛ ШПРИЦ TBF	1 мл шприц TBF	1 ml shprits TBF	brand_spelling_not_verified
24	1 МЛ ШПРИЦ UKM	1 мл шприц UKM	1 ml shprits UKM	brand_spelling_not_verified
25	1 МЛ ШПРИЦ ИНСУЛИН BD MICRO-FINE PLUS №10	1 мл шприц Инсулин BD MICRO-FINE PLUS №10	1 ml shprits Insulin BD MICRO-FINE PLUS №10	brand_spelling_not_verified
26	1 МЛ ШПРИЦ ИНСУЛИН CHANGBAO	1 мл шприц Инсулин CHANGBAO	1 ml shprits Insulin CHANGBAO	brand_spelling_not_verified
27	1 МЛ ШПРИЦ ИНСУЛИН HEALTH LINE	1 мл шприц Инсулин HEALTH LINE	1 ml shprits Insulin HEALTH LINE	brand_spelling_not_verified
28	1 МЛ ШПРИЦ ИНСУЛИН KD-JECT-III	1 мл шприц Инсулин KD-JECT-III	1 ml shprits Insulin KD-JECT-III	brand_spelling_not_verified
29	1 МЛ ШПРИЦ ИНСУЛИН TBF	1 мл шприц Инсулин TBF	1 ml shprits Insulin TBF	brand_spelling_not_verified
30	1 МЛ ШПРИЦ ИНСУЛИН VOGT MEDICAL	1 мл шприц Инсулин VOGT MEDICAL	1 ml shprits Insulin VOGT MEDICAL	brand_spelling_not_verified
31	10 МЛ ШПРИЦ	10 мл шприц	10 ml shprits	brand_spelling_not_verified
32	10 МЛ ШПРИЦ	10 мл шприц	10 ml shprits	brand_spelling_not_verified
33	10 МЛ ШПРИЦ	10 мл шприц	10 ml shprits	brand_spelling_not_verified
34	10 МЛ ШПРИЦ ALLIANCE	10 мл шприц ALLIANCE	10 ml shprits ALLIANCE	brand_spelling_not_verified
35	10 МЛ ШПРИЦ ATM	10 мл шприц ATM	10 ml shprits ATM	brand_spelling_not_verified
36	10 МЛ ШПРИЦ EASYWAY	10 мл шприц EASYWAY	10 ml shprits EASYWAY	brand_spelling_not_verified
37	10 МЛ ШПРИЦ ELYSIUM	10 мл шприц ELYSIUM	10 ml shprits ELYSIUM	brand_spelling_not_verified
38	10 МЛ ШПРИЦ GOLD-JECT	10 мл шприц GOLD-JECT	10 ml shprits GOLD-JECT	brand_spelling_not_verified
39	10 МЛ ШПРИЦ GT	10 мл шприц GT	10 ml shprits GT	brand_spelling_not_verified
40	10 МЛ ШПРИЦ HEALTH	10 мл шприц HEALTH	10 ml shprits HEALTH	brand_spelling_not_verified
41	10 МЛ ШПРИЦ KD-JECT III	10 мл шприц KD-JECT III	10 ml shprits KD-JECT III	brand_spelling_not_verified
42	10 МЛ ШПРИЦ NMT	10 мл шприц NMT	10 ml shprits NMT	brand_spelling_not_verified
43	10 МЛ ШПРИЦ PRO SYRINGE	10 мл шприц PRO SYRINGE	10 ml shprits PRO SYRINGE	brand_spelling_not_verified
44	10 МЛ ШПРИЦ PROTOS	10 мл шприц PROTOS	10 ml shprits PROTOS	brand_spelling_not_verified
45	10 МЛ ШПРИЦ RENCOS	10 мл шприц RENCOS	10 ml shprits RENCOS	brand_spelling_not_verified
46	10 МЛ ШПРИЦ SRS STERIVAN	10 мл шприц SRS STERIVAN	10 ml shprits SRS STERIVAN	brand_spelling_not_verified
47	10 МЛ ШПРИЦ SS	10 мл шприц SS	10 ml shprits SS	brand_spelling_not_verified
48	10 МЛ ШПРИЦ TBF	10 мл шприц TBF	10 ml shprits TBF	brand_spelling_not_verified
49	10 МЛ ШПРИЦ UKM	10 мл шприц UKM	10 ml shprits UKM	brand_spelling_not_verified
50	10 МЛ ШПРИЦ WESTCOM	10 мл шприц WESTCOM	10 ml shprits WESTCOM	brand_spelling_not_verified
51	100 МЛ ШПРИЦ KD-JECT III	100 мл шприц KD-JECT III	100 ml shprits KD-JECT III	brand_spelling_not_verified
52	150 МЛ ШПРИЦ KD-JECT III	150 мл шприц KD-JECT III	150 ml shprits KD-JECT III	brand_spelling_not_verified
53	2 МЛ ШПРИЦ	2 мл шприц	2 ml shprits	brand_spelling_not_verified
54	2 МЛ ШПРИЦ	2 мл шприц	2 ml shprits	brand_spelling_not_verified
55	2 МЛ ШПРИЦ	2 мл шприц	2 ml shprits	brand_spelling_not_verified
56	2 МЛ ШПРИЦ	2 мл шприц	2 ml shprits	brand_spelling_not_verified
57	2 МЛ ШПРИЦ	2 мл шприц	2 ml shprits	brand_spelling_not_verified
58	2 МЛ ШПРИЦ ALLIANCE	2 мл шприц ALLIANCE	2 ml shprits ALLIANCE	brand_spelling_not_verified
59	2 МЛ ШПРИЦ ATM	2 мл шприц ATM	2 ml shprits ATM	brand_spelling_not_verified
60	2 МЛ ШПРИЦ ELYSIUM	2 мл шприц ELYSIUM	2 ml shprits ELYSIUM	brand_spelling_not_verified
61	2 МЛ ШПРИЦ EMERY PHARMA	2 мл шприц EMERY PHARMA	2 ml shprits EMERY PHARMA	brand_spelling_not_verified
62	2 МЛ ШПРИЦ GT	2 мл шприц GT	2 ml shprits GT	brand_spelling_not_verified
63	2 МЛ ШПРИЦ HEALTH	2 мл шприц HEALTH	2 ml shprits HEALTH	brand_spelling_not_verified
64	2 МЛ ШПРИЦ LUJIE	2 мл шприц LUJIE	2 ml shprits LUJIE	brand_spelling_not_verified
65	2 МЛ ШПРИЦ NMT	2 мл шприц NMT	2 ml shprits NMT	brand_spelling_not_verified
66	2 МЛ ШПРИЦ SRS STERIVAN	2 мл шприц SRS STERIVAN	2 ml shprits SRS STERIVAN	brand_spelling_not_verified
67	2 МЛ ШПРИЦ UKM	2 мл шприц UKM	2 ml shprits UKM	brand_spelling_not_verified
68	2 МЛ ШПРИЦ WESTCOM	2 мл шприц WESTCOM	2 ml shprits WESTCOM	brand_spelling_not_verified
69	2 МЛ ШПРИЦ КD-JECT	2 мл шприц КD-JECT	2 ml shprits KD-JECT	mixed_alphabet
70	2 МЛ ШПРИЦ КIDDI	2 мл шприц КIDDI	2 ml shprits KIDDI	mixed_alphabet
71	20 МЛ ШПРИЦ	20 мл шприц	20 ml shprits	brand_spelling_not_verified
72	20 МЛ ШПРИЦ ALLIANCE	20 мл шприц ALLIANCE	20 ml shprits ALLIANCE	brand_spelling_not_verified
73	20 МЛ ШПРИЦ ATM	20 мл шприц ATM	20 ml shprits ATM	brand_spelling_not_verified
74	20 МЛ ШПРИЦ EASYWAY	20 мл шприц EASYWAY	20 ml shprits EASYWAY	brand_spelling_not_verified
75	20 МЛ ШПРИЦ ELYSIUM	20 мл шприц ELYSIUM	20 ml shprits ELYSIUM	brand_spelling_not_verified
76	20 МЛ ШПРИЦ GOLD-JECT	20 мл шприц GOLD-JECT	20 ml shprits GOLD-JECT	brand_spelling_not_verified
77	20 МЛ ШПРИЦ GT	20 мл шприц GT	20 ml shprits GT	brand_spelling_not_verified
78	20 МЛ ШПРИЦ HEALTH LINE	20 мл шприц HEALTH LINE	20 ml shprits HEALTH LINE	brand_spelling_not_verified
79	20 МЛ ШПРИЦ KD-JECT-III	20 мл шприц KD-JECT-III	20 ml shprits KD-JECT-III	brand_spelling_not_verified
80	20 МЛ ШПРИЦ NMT	20 мл шприц NMT	20 ml shprits NMT	brand_spelling_not_verified
81	20 МЛ ШПРИЦ TBF	20 мл шприц TBF	20 ml shprits TBF	brand_spelling_not_verified
82	20 МЛ ШПРИЦ UKM	20 мл шприц UKM	20 ml shprits UKM	brand_spelling_not_verified
83	2БАКОНИЛ TTS10 ПЛАСТЫРЬ ОТ КУРЕНИЯ 7МГ/24Ч №7	2Баконил TTS10 пластырь ОТ Курения 7 мг/24Ч №7	2Bakonil TTS10 plastir Ot Kureniya 7 mg/24Ch №7	brand_spelling_not_verified
84	2БАКОНИЛ TTS20 ПЛАСТЫРЬ ОТ КУРЕНИЯ 14МГ/24Ч №7	2Баконил TTS20 пластырь ОТ Курения 14 мг/24Ч №7	2Bakonil TTS20 plastir Ot Kureniya 14 mg/24Ch №7	brand_spelling_not_verified
85	2БАКОНИЛ TTS30 ПЛАСТЫРЬ ОТ КУРЕНИЯ 21МГ/24Ч №7	2Баконил TTS30 пластырь ОТ Курения 21 мг/24Ч №7	2Bakonil TTS30 plastir Ot Kureniya 21 mg/24Ch №7	brand_spelling_not_verified
86	3 МЛ ШПРИЦ EASYWAY	3 мл шприц EASYWAY	3 ml shprits EASYWAY	brand_spelling_not_verified
87	3 МЛ ШПРИЦ GOLD-JECT	3 мл шприц GOLD-JECT	3 ml shprits GOLD-JECT	brand_spelling_not_verified
88	3 МЛ ШПРИЦ TBF	3 мл шприц TBF	3 ml shprits TBF	brand_spelling_not_verified
89	30 МЛ ШПРИЦ KD-JECT III	30 мл шприц KD-JECT III	30 ml shprits KD-JECT III	brand_spelling_not_verified
90	4 АЛИФ ПЛАСТИНКА С КОМПЛЕКС ВИТАМИНОМ 2,7Г №1	4 Алиф Пластинка С Комплекс Витамином 2,7 г №1	4 Alif Plastinka S Kompleks Vitaminom 2,7 g №1	brand_spelling_not_verified
91	4 АСКОРБИНКА C ГЛЮКОЗОЙ SANOFI 2Г №1	4 Аскорбинка C Глюкозой SANOFI 2 г №1	4 Askorbinka C Glyukozoy SANOFI 2 g №1	brand_spelling_not_verified
92	4 АСКОРБИНКА VITAMINKA C ГЛЮКОЗОЙ 1,4Г №1 (АССОРТИ)	4 Аскорбинка VITAMINKA C Глюкозой 1,4 г №1 (Ассорти)	4 Askorbinka VITAMINKA C Glyukozoy 1,4 g №1 (Assorti)	brand_spelling_not_verified
93	4 АСКОРБИНКА VITAMINKA C ГЛЮКОЗОЙ АССОРТИ 2Г №4 (БУМ)	4 Аскорбинка VITAMINKA C Глюкозой Ассорти 2 г №4 (БУМ)	4 Askorbinka VITAMINKA C Glyukozoy Assorti 2 g №4 (Bum)	brand_spelling_not_verified
94	4 АСКОРБИНКА VITAMINKA C ГЛЮКОЗОЙ И КАЛЬЦИЕМ 1,2Г №1 (АССОРТИ)	4 Аскорбинка VITAMINKA C Глюкозой И Кальцием 1,2 г №1 (Ассорти)	4 Askorbinka VITAMINKA C Glyukozoy I Kaltsiem 1,2 g №1 (Assorti)	brand_spelling_not_verified
95	4 АСКОРБИНКА VITAMINKA C ГЛЮКОЗОЙ ТОРНАДО 1,4Г №4 (АССОРТИ)	4 Аскорбинка VITAMINKA C Глюкозой Торнадо 1,4 г №4 (Ассорти)	4 Askorbinka VITAMINKA C Glyukozoy Tornado 1,4 g №4 (Assorti)	brand_spelling_not_verified
96	4 АСКОРБИНКА VITAMINKA C ГЛЮКОЗОЙ ТОРНАДО 1,5Г №1 (АССОРТИ)	4 Аскорбинка VITAMINKA C Глюкозой Торнадо 1,5 г №1 (Ассорти)	4 Askorbinka VITAMINKA C Glyukozoy Tornado 1,5 g №1 (Assorti)	brand_spelling_not_verified
97	4 АСКОРБИНКА VITAMINKA C ГЛЮКОЗОЙ ТОРНАДО 1,5Г №14 (АССОРТИ)	4 Аскорбинка VITAMINKA C Глюкозой Торнадо 1,5 г №14 (Ассорти)	4 Askorbinka VITAMINKA C Glyukozoy Tornado 1,5 g №14 (Assorti)	brand_spelling_not_verified
98	4 РАНО ЧАЙ ТРАВЯНОЙ 1Г ПАК №1	4 Рано ЧАЙ Травяной 1 г пакет №1	4 Rano Chay Travyanoy 1 g paket №1	brand_spelling_not_verified
99	4 СОЛОДКА (ПАСТИЛКИ) №1	4 Солодка (Пастилки) №1	4 Solodka (Pastilki) №1	brand_spelling_not_verified
100	4 ШИПОВНИК (ПАСТИЛКИ) №1	4 Шиповник (Пастилки) №1	4 Shipovnik (Pastilki) №1	brand_spelling_not_verified
101	4 ЭФФЕСТИ (ПАСТИЛКИ) №1	4 Эффести (Пастилки) №1	4 Effesti (Pastilki) №1	brand_spelling_not_verified
102	5 МЛ AFA ШПРИЦ	5 мл AFA шприц	5 ml AFA shprits	brand_spelling_not_verified
103	5 МЛ ШПРИЦ	5 мл шприц	5 ml shprits	brand_spelling_not_verified
104	5 МЛ ШПРИЦ	5 мл шприц	5 ml shprits	brand_spelling_not_verified
105	5 МЛ ШПРИЦ	5 мл шприц	5 ml shprits	brand_spelling_not_verified
106	5 МЛ ШПРИЦ	5 мл шприц	5 ml shprits	brand_spelling_not_verified
107	5 МЛ ШПРИЦ	5 мл шприц	5 ml shprits	brand_spelling_not_verified
108	5 МЛ ШПРИЦ ALLIANCE	5 мл шприц ALLIANCE	5 ml shprits ALLIANCE	brand_spelling_not_verified
109	5 МЛ ШПРИЦ ATM	5 мл шприц ATM	5 ml shprits ATM	brand_spelling_not_verified
110	5 МЛ ШПРИЦ BAGIL MEDICAL	5 мл шприц BAGIL MEDICAL	5 ml shprits BAGIL MEDICAL	brand_spelling_not_verified
111	5 МЛ ШПРИЦ EASYWAY	5 мл шприц EASYWAY	5 ml shprits EASYWAY	brand_spelling_not_verified
112	5 МЛ ШПРИЦ ELYSIUM	5 мл шприц ELYSIUM	5 ml shprits ELYSIUM	brand_spelling_not_verified
113	5 МЛ ШПРИЦ GOLD-JECT	5 мл шприц GOLD-JECT	5 ml shprits GOLD-JECT	brand_spelling_not_verified
114	5 МЛ ШПРИЦ GT	5 мл шприц GT	5 ml shprits GT	brand_spelling_not_verified
115	5 МЛ ШПРИЦ HEALTH	5 мл шприц HEALTH	5 ml shprits HEALTH	brand_spelling_not_verified
116	5 МЛ ШПРИЦ HEALTH LINE	5 мл шприц HEALTH LINE	5 ml shprits HEALTH LINE	brand_spelling_not_verified
117	5 МЛ ШПРИЦ KD-JECT	5 мл шприц KD-JECT	5 ml shprits KD-JECT	brand_spelling_not_verified
118	5 МЛ ШПРИЦ NMT	5 мл шприц NMT	5 ml shprits NMT	brand_spelling_not_verified
119	5 МЛ ШПРИЦ RENCOS	5 мл шприц RENCOS	5 ml shprits RENCOS	brand_spelling_not_verified
120	5 МЛ ШПРИЦ SRS STERIVAN	5 мл шприц SRS STERIVAN	5 ml shprits SRS STERIVAN	brand_spelling_not_verified
121	5 МЛ ШПРИЦ SS	5 мл шприц SS	5 ml shprits SS	brand_spelling_not_verified
122	5 МЛ ШПРИЦ TBF	5 мл шприц TBF	5 ml shprits TBF	brand_spelling_not_verified
123	5 МЛ ШПРИЦ UKM	5 мл шприц UKM	5 ml shprits UKM	brand_spelling_not_verified
124	5 МЛ ШПРИЦ WESTCOM	5 мл шприц WESTCOM	5 ml shprits WESTCOM	brand_spelling_not_verified
125	5 МЛ ШПРИЦ ТЕХНО+	5 мл шприц Техно+	5 ml shprits Texno+	brand_spelling_not_verified
126	5-ГИДРОКСИТРИПТОФАН CALIFORNIA GOLD NUTRITION 5-HTP КАПС 100МГ №90	5-Гидрокситриптофан CALIFORNIA GOLD NUTRITION 5-HTP капсулы 100 мг №90	5-Gidroksitriptofan CALIFORNIA GOLD NUTRITION 5-HTP kapsula 100 mg №90	brand_spelling_not_verified
127	5-ГИДРОКСИТРИПТОФАН NOW КАПС 200 МГ №60	5-Гидрокситриптофан NOW капсулы 200 мг №60	5-Gidroksitriptofan NOW kapsula 200 mg №60	brand_spelling_not_verified
128	5-НОК ТАБ 50МГ №50	5-НОК таблетки 50 мг №50	5-Nok tabletka 50 mg №50	brand_spelling_not_verified
129	50 МЛ ШПРИЦ	50 мл шприц	50 ml shprits	brand_spelling_not_verified
130	50 МЛ ШПРИЦ BMG MED С ИГЛОЙ 18G CATHETER TIP	50 мл шприц BMG MED С Иглой 18G CATHETER TIP	50 ml shprits BMG MED S Igloy 18G CATHETER TIP	brand_spelling_not_verified
131	50 МЛ ШПРИЦ KD-JECT III	50 мл шприц KD-JECT III	50 ml shprits KD-JECT III	brand_spelling_not_verified
132	50 МЛ ШПРИЦ WEGO	50 мл шприц WEGO	50 ml shprits WEGO	brand_spelling_not_verified
133	60 МЛ ШПРИЦ EASYWAY	60 мл шприц EASYWAY	60 ml shprits EASYWAY	brand_spelling_not_verified
134	60 МЛ ШПРИЦ KD-JECT III	60 мл шприц KD-JECT III	60 ml shprits KD-JECT III	brand_spelling_not_verified
135	7 ПАКЕТ ПОЛИЭТИЛЕНОВЫЙ А5 1ШТ.	7 Пакет Полиэтиленовый А5 1ШТ.	7 Paket Polietilenoviy A5 1Sht.	brand_spelling_not_verified
136	8 СПИРТ 70% 40МЛ	8 Спирт 70% 40 мл	8 Spirt 70% 40 ml	brand_spelling_not_verified
137	8 СПИРТ 70% 40МЛ	8 Спирт 70% 40 мл	8 Spirt 70% 40 ml	brand_spelling_not_verified
138	8 СПИРТ 70% 40МЛ	8 Спирт 70% 40 мл	8 Spirt 70% 40 ml	brand_spelling_not_verified
139	8 СПИРТ 70% 40МЛ	8 Спирт 70% 40 мл	8 Spirt 70% 40 ml	brand_spelling_not_verified
140	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
141	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
142	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
143	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
144	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
145	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
146	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
147	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
148	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
149	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
150	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
151	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
152	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
153	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
154	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
155	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
156	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
157	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
158	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
159	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
160	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
161	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
162	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
163	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
164	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
165	8 СПИРТ 70% 50МЛ	8 Спирт 70% 50 мл	8 Spirt 70% 50 ml	brand_spelling_not_verified
166	9 СИСТЕМА ИНФУЗИОННАЯ	9 Система Инфузионная	9 Sistema Infuzionnaya	brand_spelling_not_verified
167	9 СИСТЕМА ИНФУЗИОННАЯ	9 Система Инфузионная	9 Sistema Infuzionnaya	brand_spelling_not_verified
168	9 СИСТЕМА ИНФУЗИОННАЯ	9 Система Инфузионная	9 Sistema Infuzionnaya	brand_spelling_not_verified
169	9 СИСТЕМА ИНФУЗИОННАЯ	9 Система Инфузионная	9 Sistema Infuzionnaya	brand_spelling_not_verified
170	9 СИСТЕМА ИНФУЗИОННАЯ	9 Система Инфузионная	9 Sistema Infuzionnaya	brand_spelling_not_verified
171	9 СИСТЕМА ИНФУЗИОННАЯ A2M-Z2	9 Система Инфузионная A2M-Z2	9 Sistema Infuzionnaya A2M-Z2	brand_spelling_not_verified
172	9 СИСТЕМА ИНФУЗИОННАЯ ALLIANCE	9 Система Инфузионная ALLIANCE	9 Sistema Infuzionnaya ALLIANCE	brand_spelling_not_verified
173	9 СИСТЕМА ИНФУЗИОННАЯ EASYWAY	9 Система Инфузионная EASYWAY	9 Sistema Infuzionnaya EASYWAY	brand_spelling_not_verified
174	9 СИСТЕМА ИНФУЗИОННАЯ EVERLAND	9 Система Инфузионная EVERLAND	9 Sistema Infuzionnaya EVERLAND	brand_spelling_not_verified
175	9 СИСТЕМА ИНФУЗИОННАЯ GOLD	9 Система Инфузионная GOLD	9 Sistema Infuzionnaya GOLD	brand_spelling_not_verified
176	9 СИСТЕМА ИНФУЗИОННАЯ GT	9 Система Инфузионная GT	9 Sistema Infuzionnaya GT	brand_spelling_not_verified
177	9 СИСТЕМА ИНФУЗИОННАЯ HEALTH	9 Система Инфузионная HEALTH	9 Sistema Infuzionnaya HEALTH	brand_spelling_not_verified
178	9 СИСТЕМА ИНФУЗИОННАЯ HEALTH LINE	9 Система Инфузионная HEALTH LINE	9 Sistema Infuzionnaya HEALTH LINE	brand_spelling_not_verified
179	9 СИСТЕМА ИНФУЗИОННАЯ HONGDA	9 Система Инфузионная HONGDA	9 Sistema Infuzionnaya HONGDA	brand_spelling_not_verified
180	9 СИСТЕМА ИНФУЗИОННАЯ KDM	9 Система Инфузионная KDM	9 Sistema Infuzionnaya KDM	brand_spelling_not_verified
181	9 СИСТЕМА ИНФУЗИОННАЯ NMT	9 Система Инфузионная NMT	9 Sistema Infuzionnaya NMT	brand_spelling_not_verified
182	9 СИСТЕМА ИНФУЗИОННАЯ STANDART-S	9 Система Инфузионная STANDART-S	9 Sistema Infuzionnaya STANDART-S	brand_spelling_not_verified
183	9 СИСТЕМА ИНФУЗИОННАЯ TBF	9 Система Инфузионная TBF	9 Sistema Infuzionnaya TBF	brand_spelling_not_verified
184	9 СИСТЕМА ИНФУЗИОННАЯ UKМ	9 Система Инфузионная UKМ	9 Sistema Infuzionnaya UKM	mixed_alphabet
185	9 СИСТЕМА ИНФУЗИОННАЯ UZMED	9 Система Инфузионная UZMED	9 Sistema Infuzionnaya UZMED	brand_spelling_not_verified
186	9 СИСТЕМА ИНФУЗИОННАЯ WESTCOM	9 Система Инфузионная WESTCOM	9 Sistema Infuzionnaya WESTCOM	brand_spelling_not_verified
187	9 СИСТЕМА ИНФУЗИОННАЯ АТМ	9 Система Инфузионная АТМ	9 Sistema Infuzionnaya Atm	brand_spelling_not_verified
188	911 НЕПОТИН АНТИПЕРСПИРАНТ 100МЛ	911 Непотин Антиперспирант 100 мл	911 Nepotin Antiperspirant 100 ml	brand_spelling_not_verified
189	911 ШАМПУНЬ ДЕТОКС АБСОРБИРУЮЩИЙ С УГЛЕМ	911 шампунь Детокс Абсорбирующий С Углем	911 shampun Detoks Absorbiruyushchiy S Uglem	brand_spelling_not_verified
190	AC ACTIVE CARE 40ML	AC ACTIVE CARE 40ML	AC ACTIVE CARE 40ML	brand_spelling_not_verified
191	ADVANCED ANTI WRINKLE EYE CREM (TESTER) 826	ADVANCED ANTI WRINKLE EYE CREM (TESTER) 826	ADVANCED ANTI WRINKLE EYE CREM (TESTER) 826	brand_spelling_not_verified
192	ADVANCED REGENERATION FIRMING CREM (TESTER) 818	ADVANCED REGENERATION FIRMING CREM (TESTER) 818	ADVANCED REGENERATION FIRMING CREM (TESTER) 818	brand_spelling_not_verified
